Portsmouth,NH,23,1,4,,,Ttest AVL and BST,Ttest AVL and Splay,Ttest Splay and BST
Petersham,MA,23,15,6,,,,,
Rowe,MA,21,4,5,,,,,
Royalston,MA,13,5,10,,,,,
Shattuckville,MA,17,7,8,,,,,
Shelburne Falls,MA,20,7,10,,,,,
South Deerfield,MA,12,8,8,,,,,
Sunderland,MA,23,9,8,,,,,
Turners Falls,MA,2,10,12,,,,,
Warwick,MA,17,12,8,,,,,
Wendell,MA,15,13,13,,,,,
Wendell Depot,MA,8,14,4,,,,,
Fitchburg,MA,41,18,14,,,,,
Ashburnham,MA,28,8,14,,,,,
Ashby,MA,14,9,15,,,,,
Ayer,MA,27,8,8,,,,,
Baldwinville,MA,23,9,9,,,,,
East Templeton,MA,16,17,8,,,,,
Gardner,MA,27,18,13,,,,,
Gardner,MA,1,18,13,,,,,
Groton,MA,29,23,10,,,,,
Harvard,MA,18,24,9,,,,,
Hubbardston,MA,19,6,15,,,,,
Leominster,MA,17,8,9,,,,,
Littleton,MA,16,9,10,,,,,
Lunenburg,MA,16,10,13,,,,,
Pepperell,MA,22,16,10,,,,,
Shirley,MA,24,8,15,,,,,
Still River,MA,21,9,9,,,,,
Templeton,MA,16,10,8,,,,,
Townsend,MA,18,11,9,,,,,
Groton,MA,11,23,10,,,,,
Groton,MA,1,23,10,,,,,
West Groton,MA,18,14,10,,,,,
Westminster,MA,22,14,14,,,,,
West Townsend,MA,12,17,10,,,,,
Winchendon,MA,18,20,5,,,,,
Winchendon Springs,MA,10,21,14,,,,,
Auburn,MA,21,9,16,,,,,
Berlin,MA,19,10,11,,,,,
Blackstone,MA,21,10,7,,,,,
Boylston,MA,26,10,8,,,,,
Brookfield,MA,13,13,12,,,,,
Charlton,MA,18,14,14,,,,,
Charlton City,MA,9,15,3,,,,,
Charlton Depot,MA,4,16,15,,,,,
Clinton,MA,25,15,6,,,,,
East Brookfield,MA,22,19,12,,,,,
Douglas,MA,23,19,8,,,,,
East Princeton,MA,14,18,10,,,,,
Fiskdale,MA,13,19,15,,,,,
Grafton,MA,23,19,14,,,,,
Holden,MA,26,26,11,,,,,
Holland,MA,22,27,12,,,,,
Jefferson,MA,26,9,5,,,,,
