Portsmouth,NH,23,1,4,,,Ttest AVL and BST,Ttest AVL and Splay,Ttest Splay and BST
Girdletree,MD,18,30,9,,,,,
Hebron,MD,19,31,11,,,,,
Linkwood,MD,13,19,13,,,,,
Manokin,MD,24,22,15,,,,,
Mardela Springs,MD,16,21,13,,,,,
Marion Station,MD,14,22,11,,,,,
Nanticoke,MD,13,19,13,,,,,
Newark,MD,14,20,13,,,,,
Ocean City,MD,16,21,15,,,,,
Ocean City,MD,1,21,15,,,,,
Parsonsburg,MD,13,22,15,,,,,
Pittsville,MD,16,20,15,,,,,
Pocomoke City,MD,10,25,16,,,,,
Powellville,MD,24,11,13,,,,,
Princess Anne,MD,17,9,15,,,,,
Quantico,MD,12,16,16,,,,,
Rehobeth,MD,14,14,16,,,,,
Sharptown,MD,16,13,16,,,,,
Showell,MD,18,13,14,,,,,
Snow Hill,MD,21,20,9,,,,,
Stockton,MD,20,18,12,,,,,
Tyaskin,MD,18,16,15,,,,,
Tylerton,MD,12,16,12,,,,,
Upper Fairmount,MD,8,18,14,,,,,
Vienna,MD,20,18,15,,,,,
Wenona,MD,11,20,13,,,,,
Westover,MD,17,22,15,,,,,
Whaleyville,MD,13,18,14,,,,,
Willards,MD,15,21,16,,,,,
Delmar,MD,45,30,12,,,,,
Westover,MD,4,22,15,,,,,
North East,MD,26,20,14,,,,,
Perry Point,MD,18,24,12,,,,,
Perryville,MD,21,22,12,,,,,
Port Deposit,MD,20,25,14,,,,,
Rising Sun,MD,23,13,14,,,,,
Warwick,MD,18,20,14,,,,,
Cecilton,MD,25,25,11,,,,,
Charlestown,MD,18,19,14,,,,,
Chesapeake City,MD,15,20,15,,,,,
Childs,MD,19,19,15,,,,,
Colora,MD,18,20,13,,,,,
Conowingo,MD,16,25,11,,,,,
Earleville,MD,25,31,11,,,,,
Elk Mills,MD,30,25,13,,,,,
Elkton,MD,16,28,12,,,,,
Elkton,MD,1,28,12,,,,,
Georgetown,MD,16,21,14,,,,,
Amissville,VA,21,14,13,,,,,
Annandale,VA,17,19,15,,,,,
Burke,VA,21,24,14,,,,,
Burke,VA,1,24,14,,,,,
Dumfries,VA,23,26,14,,,,,
Dunn Loring,VA,13,27,14,,,,,
Fairfax,VA,21,29,14,,,,,
Fairfax,VA,1,29,14,,,,,
Fairfax,VA,1,29,14,,,,,
Fairfax,VA,1,29,14,,,,,
Fairfax,VA,1,29,14,,,,,
Fairfax,VA,1,29,14,,,,,
Fairfax,VA,1,29,14,,,,,
Fairfax,VA,1,29,14,,,,,
Fairfax,VA,1,29,14,,,,,
Fairfax Station,VA,13,30,12,,,,,
Falls Church,VA,21,26,10,,,,,
Falls Church,VA,1,26,10,,,,,
Falls Church,VA,1,26,10,,,,,
Falls Church,VA,1,26,10,,,,,
Falls Church,VA,1,26,10,,,,,
Falls Church,VA,1,26,10,,,,,
Falls Church,VA,1,26,10,,,,,
Fort Belvoir,VA,20,29,10,,,,,
Great Falls,VA,21,28,14,,,,,
Greenway,VA,21,27,15,,,,,
Lorton,VA,19,14,15,,,,,
Merrifield,VA,23,21,14,,,,,
Merrifield,VA,1,21,14,,,,,
Herndon,VA,14,42,13,,,,,
Ashburn,VA,24,12,16,,,,,
Herndon,VA,2,42,13,,,,,
Reston,VA,13,14,13,,,,,
Mc Lean,VA,19,22,12,,,,,
Mc Lean,VA,1,22,12,,,,,
West Mclean,VA,18,21,13,,,,,
Mc Lean,VA,2,22,12,,,,,
Mc Lean,VA,1,22,12,,,,,
Merrifield,VA,4,21,14,,,,,
Merrifield,VA,1,21,14,,,,,
Merrifield,VA,1,21,14,,,,,
Merrifield,VA,1,21,14,,,,,
Mount Vernon,VA,15,24,14,,,,,
Newington,VA,16,23,13,,,,,
Oakton,VA,12,21,13,,,,,
Occoquan,VA,9,20,14,,,,,
Quantico,VA,10,17,14,,,,,
Quantico,VA,1,17,14,,,,,
Springfield,VA,28,16,13,,,,,
Springfield,VA,1,16,13,,,,,
Springfield,VA,1,16,13,,,,,
Springfield,VA,1,16,13,,,,,
Springfield,VA,1,16,13,,,,,
Springfield,VA,1,16,13,,,,,
Springfield,VA,1,16,13,,,,,
Springfield,VA,1,16,13,,,,,
Springfield,VA,1,16,13,,,,,
Triangle,VA,22,19,13,,,,,
Vienna,VA,17,16,13,,,,,
Vienna,VA,1,16,13,,,,,
Vienna,VA,1,16,13,,,,,
Vienna,VA,1,16,13,,,,,
Vienna,VA,1,16,13,,,,,
Vienna,VA,1,16,13,,,,,
Woodbridge,VA,19,30,12,,,,,
Woodbridge,VA,1,30,12,,,,,
Woodbridge,VA,1,30,12,,,,,
Woodbridge,VA,1,30,12,,,,,
Woodbridge,VA,1,30,12,,,,,
Lorton,VA,13,14,15,,,,,
Arlington,VA,17,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Ft Myer,VA,18,28,13,,,,,
Arlington,VA,2,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Arlington,VA,1,14,12,,,,,
Alexandria,VA,15,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Alexandria,VA,1,15,13,,,,,
Fredericksburg,VA,20,31,13,,,,,
Fredericksburg,VA,1,31,13,,,,,
Fredericksburg,VA,1,31,13,,,,,
Fredericksburg,VA,1,31,13,,,,,
Fredericksburg,VA,1,31,13,,,,,
Fredericksburg,VA,1,31,13,,,,,
Fredericksburg,VA,1,31,13,,,,,
Fredericksburg,VA,1,31,13,,,,,
Fredericksburg,VA,1,31,13,,,,,
Bowling Green,VA,25,19,12,,,,,
Bowling Green,VA,1,19,12,,,,,
Brooke,VA,20,19,13,,,,,
Burgess,VA,12,25,13,,,,,
Burr Hill,VA,24,24,13,,,,,
Callao,VA,15,31,15,,,,,
Caret,VA,21,22,13,,,,,
Center Cross,VA,17,21,15,,,,,
Champlain,VA,17,24,15,,,,,
Coles Point,VA,23,22,11,,,,,
Colonial Beach,VA,12,21,12,,,,,
Corbin,VA,16,27,13,,,,,
Dahlgren,VA,22,21,13,,,,,
Dogue,VA,23,28,14,,,,,
Dunnsville,VA,16,28,13,,,,,
Edwardsville,VA,20,29,12,,,,,
Farnham,VA,20,27,14,,,,,
Garrisonville,VA,17,26,14,,,,,
Hague,VA,14,31,15,,,,,
Hartwood,VA,16,31,16,,,,,
Haynesville,VA,14,30,11,,,,,
Heathsville,VA,10,31,14,,,,,
Hustle,VA,19,16,16,,,,,
Irvington,VA,14,24,15,,,,,
Jersey,VA,17,22,14,,,,,
Kilmarnock,VA,19,18,13,,,,,
King George,VA,11,19,10,,,,,
Kinsale,VA,15,19,12,,,,,
Ladysmith,VA,13,17,15,,,,,
Lancaster,VA,16,15,12,,,,,
Laneview,VA,11,14,14,,,,,
Lively,VA,18,15,16,,,,,
Locust Grove,VA,12,19,13,,,,,
Loretto,VA,11,14,13,,,,,
Lottsburg,VA,18,15,14,,,,,
Merry Point,VA,17,21,14,,,,,
Milford,VA,18,18,13,,,,,
Mollusk,VA,20,24,14,,,,,
Montross,VA,15,23,15,,,,,
Morattico,VA,9,24,14,,,,,
Mount Holly,VA,16,25,15,,,,,
Ninde,VA,20,24,14,,,,,
Nuttsville,VA,15,16,16,,,,,
Oldhams,VA,22,25,14,,,,,
Ophelia,VA,29,19,13,,,,,
Partlow,VA,13,21,14,,,,,
Port Royal,VA,15,27,13,,,,,
Rappahannock Academy,VA,20,17,12,,,,,
Reedville,VA,16,17,16,,,,,
Rhoadesville,VA,15,16,16,,,,,
Rollins Fork,VA,18,15,14,,,,,
Ruby,VA,17,11,15,,,,,
Ruther Glen,VA,12,9,14,,,,,
Sealston,VA,20,18,11,,,,,
Sharps,VA,14,13,12,,,,,
Sparta,VA,14,12,13,,,,,
Spotsylvania,VA,11,14,12,,,,,
Stafford,VA,22,19,11,,,,,
Stafford,VA,1,19,11,,,,,
Stratford,VA,18,18,13,,,,,
Tappahannock,VA,15,21,14,,,,,
Thornburg,VA,17,16,13,,,,,
Unionville,VA,18,17,14,,,,,
Village,VA,10,19,14,,,,,
Warsaw,VA,13,17,14,,,,,
Weems,VA,18,23,14,,,,,
Sandy Point,VA,23,11,15,,,,,
White Stone,VA,20,22,15,,,,,
Wicomico Church,VA,10,22,13,,,,,
Woodford,VA,12,28,14,,,,,
Zacata,VA,23,26,12,,,,,
Winchester,VA,15,28,11,,,,,
Winchester,VA,1,28,11,,,,,
Winchester,VA,1,28,11,,,,,
Winchester,VA,1,28,11,,,,,
Bentonville,VA,79,20,16,,,,,
Berryville,VA,51,19,15,,,,,
Boyce,VA,33,15,12,,,,,
Brucetown,VA,25,22,14,,,,,
Chester Gap,VA,18,15,15,,,,,
Clear Brook,VA,17,23,15,,,,,
Cross Junction,VA,23,29,10,,,,,
Fishers Hill,VA,17,26,15,,,,,
Flint Hill,VA,15,25,14,,,,,
Front Royal,VA,22,28,12,,,,,
Gore,VA,24,26,13,,,,,
Winchester,VA,5,28,11,,,,,
Hume,VA,22,17,15,,,,,
Huntly,VA,18,13,14,,,,,
Strasburg,VA,21,17,15,,,,,
Linden,VA,25,17,13,,,,,
Markham,VA,21,22,13,,,,,
Maurertown,VA,16,21,12,,,,,
Middletown,VA,14,17,13,,,,,
Millwood,VA,17,22,14,,,,,
Middletown,VA,2,17,13,,,,,
Rileyville,VA,20,15,16,,,,,
Fort Valley,VA,26,33,14,,,,,
Star Tannery,VA,19,20,12,,,,,
Stephens City,VA,15,19,10,,,,,
Stephenson,VA,11,20,12,,,,,
Strasburg,VA,2,17,15,,,,,
Toms Brook,VA,17,17,14,,,,,
White Post,VA,14,22,14,,,,,
Woodstock,VA,14,28,14,,,,,
Culpeper,VA,26,25,14,,,,,
Aroda,VA,19,19,14,,,,,
Banco,VA,15,17,11,,,,,
Bealeton,VA,13,16,16,,,,,
Boston,VA,17,17,14,,,,,
Brandy Station,VA,13,17,15,,,,,
Brightwood,VA,16,14,13,,,,,
Castleton,VA,24,21,15,,,,,
Elkwood,VA,27,29,10,,,,,
Etlan,VA,21,24,15,,,,,
Goldvein,VA,23,26,14,,,,,
Graves Mill,VA,18,27,14,,,,,
Haywood,VA,18,31,12,,,,,
Hood,VA,22,13,17,,,,,
Jeffersonton,VA,20,18,12,,,,,
Leon,VA,23,13,14,,,,,
Lignum,VA,15,22,13,,,,,
Madison,VA,20,23,14,,,,,
Midland,VA,15,19,12,,,,,
Mitchells,VA,25,20,13,,,,,
Oakpark,VA,15,21,15,,,,,
Pratts,VA,19,13,16,,,,,
Radiant,VA,24,13,15,,,,,
Rapidan,VA,12,18,15,,,,,
Remington,VA,19,13,13,,,,,
Reva,VA,13,13,15,,,,,
Richardsville,VA,15,17,13,,,,,
Rixeyville,VA,18,12,16,,,,,
Rochelle,VA,14,11,13,,,,,
Somerville,VA,21,11,13,,,,,
Sperryville,VA,14,12,14,,,,,
Stevensburg,VA,13,15,13,,,,,
Sumerduck,VA,25,20,14,,,,,
Syria,VA,17,24,13,,,,,
Viewtown,VA,15,17,11,,,,,
Washington,VA,16,24,13,,,,,
Wolftown,VA,21,28,12,,,,,
Woodville,VA,14,25,12,,,,,
Harrisonburg,VA,49,32,14,,,,,
Harrisonburg,VA,1,32,14,,,,,
Harrisonburg,VA,1,32,14,,,,,
Basye,VA,27,14,14,,,,,
Bergton,VA,19,18,13,,,,,
Bridgewater,VA,18,19,13,,,,,
Broadway,VA,19,20,14,,,,,
Criders,VA,24,31,14,,,,,
Dayton,VA,19,25,13,,,,,
Edinburg,VA,18,27,15,,,,,
Elkton,VA,10,30,14,,,,,
Fulks Run,VA,18,29,10,,,,,
Hinton,VA,32,31,13,,,,,
Keezletown,VA,26,19,14,,,,,
Lacey Spring,VA,23,21,14,,,,,
Linville,VA,21,19,15,,,,,
Luray,VA,16,21,12,,,,,
Mc Gaheysville,VA,26,25,11,,,,,
Mount Crawford,VA,23,25,13,,,,,
Mount Jackson,VA,17,27,15,,,,,
Mount Solon,VA,16,27,14,,,,,
New Market,VA,18,21,10,,,,,
Orkney Springs,VA,17,21,14,,,,,
Penn Laird,VA,21,29,15,,,,,
Quicksburg,VA,14,14,15,,,,,
Pleasant Valley,VA,18,22,15,,,,,
Shenandoah,VA,21,14,16,,,,,
Singers Glen,VA,15,20,12,,,,,
Stanley,VA,14,19,10,,,,,
Timberville,VA,16,18,13,,,,,
Charlottesville,VA,39,20,13,,,,,
Charlottesville,VA,1,20,13,,,,,
Charlottesville,VA,1,20,13,,,,,
Charlottesville,VA,1,20,13,,,,,
Charlottesville,VA,1,20,13,,,,,
Charlottesville,VA,1,20,13,,,,,
Charlottesville,VA,1,20,13,,,,,
Charlottesville,VA,1,20,13,,,,,
Charlottesville,VA,1,20,13,,,,,
Charlottesville,VA,1,20,13,,,,,
Charlottesville,VA,1,20,13,,,,,
Afton,VA,22,10,15,,,,,
Arrington,VA,14,19,16,,,,,
Barboursville,VA,16,15,14,,,,,
Batesville,VA,18,14,11,,,,,
Covesville,VA,32,29,12,,,,,
Crozet,VA,18,29,14,,,,,
Dyke,VA,21,30,13,,,,,
Earlysville,VA,16,31,11,,,,,
Esmont,VA,22,24,15,,,,,
Faber,VA,12,30,14,,,,,
Fishersville,VA,11,26,14,,,,,
Free Union,VA,20,30,15,,,,,
Gordonsville,VA,14,27,13,,,,,
Greenwood,VA,20,32,14,,,,,
Ivy,VA,22,18,14,,,,,
Keene,VA,15,19,13,,,,,
Keswick,VA,15,20,12,,,,,
Locust Dale,VA,15,19,14,,,,,
Lovingston,VA,13,15,11,,,,,
Lyndhurst,VA,18,17,15,,,,,
Madison Mills,VA,15,22,13,,,,,
Massies Mill,VA,16,26,15,,,,,
Montpelier Station,VA,15,22,13,,,,,
Nellysford,VA,20,21,15,,,,,
North Garden,VA,21,17,15,,,,,
Orange,VA,13,19,16,,,,,
Palmyra,VA,24,28,14,,,,,
Piney River,VA,15,24,15,,,,,
Quinque,VA,14,12,14,,,,,
Roseland,VA,26,13,15,,,,,
Ruckersville,VA,13,12,11,,,,,
Schuyler,VA,20,15,16,,,,,
Shipman,VA,12,20,15,,,,,
Somerset,VA,14,14,13,,,,,
Stanardsville,VA,17,20,12,,,,,
Troy,VA,18,17,16,,,,,
Tyro,VA,17,18,14,,,,,
Waynesboro,VA,14,23,13,,,,,
White Hall,VA,11,23,15,,,,,
Woodberry Forest,VA,13,30,14,,,,,
Achilles,VA,52,12,14,,,,,
Amelia Court House,VA,38,12,16,,,,,
Ark,VA,25,19,12,,,,,
Arvonia,VA,17,17,15,,,,,
Ashland,VA,13,12,16,,,,,
Aylett,VA,21,11,16,,,,,
Barhamsville,VA,19,15,12,,,,,
Beaumont,VA,27,16,12,,,,,
Beaverdam,VA,18,19,14,,,,,
Bellamy,VA,23,14,10,,,,,
Bena,VA,17,19,13,,,,,
Bohannon,VA,22,15,14,,,,,
Bremo Bluff,VA,15,19,14,,,,,
Bruington,VA,15,23,15,,,,,
Bumpass,VA,20,25,15,,,,,
Cardinal,VA,15,23,14,,,,,
Cartersville,VA,14,19,15,,,,,
Charles City,VA,12,19,12,,,,,
Christchurch,VA,21,24,15,,,,,
Church View,VA,9,27,14,,,,,
Cobbs Creek,VA,15,21,13,,,,,
Columbia,VA,20,23,13,,,,,
Crozier,VA,10,30,15,,,,,
Cumberland,VA,12,21,13,,,,,
Deltaville,VA,15,29,14,,,,,
Diggs,VA,17,28,14,,,,,
Doswell,VA,19,25,15,,,,,
Dutton,VA,13,27,14,,,,,
Fife,VA,27,25,11,,,,,
Fork Union,VA,16,30,15,,,,,
Foster,VA,21,25,14,,,,,
Glen Allen,VA,23,27,14,,,,,
Glen Allen,VA,1,27,14,,,,,
Glen Allen,VA,1,27,14,,,,,
Gloucester,VA,14,22,14,,,,,
Gloucester Point,VA,7,23,15,,,,,
Goochland,VA,16,27,11,,,,,
Grimstead,VA,19,29,12,,,,,
Gum Spring,VA,16,33,10,,,,,
Gwynn,VA,8,34,15,,,,,
Hadensville,VA,12,30,14,,,,,
Hallieford,VA,20,26,14,,,,,
Hanover,VA,11,27,14,,,,,
Hardyville,VA,13,29,14,,,,,
Hartfield,VA,15,30,15,,,,,
Hayes,VA,19,30,15,,,,,
Highland Springs,VA,17,38,16,,,,,
Hudgins,VA,15,10,13,,,,,
Jamaica,VA,16,15,17,,,,,
Jamestown,VA,15,15,14,,,,,
Jetersville,VA,17,21,13,,,,,
Kents Store,VA,14,18,14,,,,,
King And Queen Court Hous,VA,17,18,14,,,,,
King William,VA,13,19,14,,,,,
Lanexa,VA,13,15,15,,,,,
Lightfoot,VA,9,23,14,,,,,
Little Plymouth,VA,12,18,14,,,,,
Locust Hill,VA,11,20,14,,,,,
Louisa,VA,15,12,15,,,,,
Macon,VA,12,21,14,,,,,
Maidens,VA,19,19,15,,,,,
Manakin Sabot,VA,13,17,13,,,,,
Mannboro,VA,14,23,15,,,,,
Manquin,VA,14,20,16,,,,,
Maryus,VA,14,23,14,,,,,
Mascot,VA,13,19,13,,,,,
Mathews,VA,19,21,11,,,,,
Mattaponi,VA,12,18,13,,,,,
Mechanicsville,VA,16,22,14,,,,,
Midlothian,VA,15,19,13,,,,,
Midlothian,VA,1,19,13,,,,,
Millers Tavern,VA,19,21,14,,,,,
Mechanicsville,VA,3,22,14,,,,,
Mineral,VA,16,24,11,,,,,
Moon,VA,19,24,14,,,,,
Moseley,VA,18,24,15,,,,,
New Canton,VA,18,20,14,,,,,
New Kent,VA,12,20,14,,,,,
New Point,VA,21,24,13,,,,,
Newtown,VA,11,25,12,,,,,
Norge,VA,13,18,14,,,,,
North,VA,20,16,15,,,,,
Oilville,VA,20,22,14,,,,,
Onemo,VA,13,24,15,,,,,
Ordinary,VA,15,21,14,,,,,
Port Haywood,VA,19,28,12,,,,,
Powhatan,VA,16,12,13,,,,,
Providence Forge,VA,22,14,12,,,,,
Quinton,VA,14,13,15,,,,,
Rockville,VA,16,11,14,,,,,
Ruthville,VA,22,7,13,,,,,
Saint Stephens Church,VA,22,17,13,,,,,
Saluda,VA,14,14,14,,,,,
Sandston,VA,11,10,15,,,,,
Sandy Hook,VA,8,12,16,,,,,
Schley,VA,14,17,13,,,,,
Severn,VA,14,20,15,,,,,
Shacklefords,VA,15,15,15,,,,,
State Farm,VA,20,19,14,,,,,
Stevensville,VA,17,17,15,,,,,
Studley,VA,18,18,13,,,,,
Susan,VA,15,16,13,,,,,
Toano,VA,14,18,14,,,,,
Topping,VA,12,17,15,,,,,
Trevilians,VA,10,18,14,,,,,
University Of Richmond,VA,23,16,13,,,,,
Urbanna,VA,22,15,13,,,,,
Wake,VA,25,17,15,,,,,
Walkerton,VA,16,16,9,,,,,
Ware Neck,VA,18,13,13,,,,,
Water View,VA,14,24,14,,,,,
West Point,VA,12,24,15,,,,,
White Marsh,VA,10,25,13,,,,,
Wicomico,VA,11,23,14,,,,,
Williamsburg,VA,13,21,16,,,,,
Williamsburg,VA,1,21,16,,,,,
Williamsburg,VA,1,21,16,,,,,
Williamsburg,VA,1,21,16,,,,,
Woods Cross Roads,VA,14,29,14,,,,,
Zanoni,VA,12,27,12,,,,,
Montpelier,VA,55,23,14,,,,,
Richmond,VA,35,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Richmond,VA,1,10,17,,,,,
Accomac,VA,80,10,15,,,,,
Assawoman,VA,48,13,15,,,,,
Atlantic,VA,29,17,16,,,,,
Battery Park,VA,24,16,12,,,,,
Belle Haven,VA,14,15,13,,,,,
Birdsnest,VA,22,16,13,,,,,
Bloxom,VA,16,19,12,,,,,
Cape Charles,VA,21,23,13,,,,,
Capeville,VA,4,24,13,,,,,
Carrollton,VA,15,19,16,,,,,
Carrsville,VA,9,19,16,,,,,
Cheriton,VA,26,21,15,,,,,
Chesapeake,VA,9,21,14,,,,,
Chesapeake,VA,1,21,14,,,,,
Chesapeake,VA,1,21,14,,,,,
Chesapeake,VA,1,21,14,,,,,
Chesapeake,VA,1,21,14,,,,,
Chesapeake,VA,1,21,14,,,,,
Chesapeake,VA,1,21,14,,,,,
Chesapeake,VA,1,21,14,,,,,
Chesapeake,VA,1,21,14,,,,,
Chincoteague Island,VA,10,25,14,,,,,
Wallops Island,VA,20,15,14,,,,,
Craddockville,VA,21,27,13,,,,,
Davis Wharf,VA,17,26,13,,,,,
Eastville,VA,27,23,14,,,,,
Exmore,VA,16,29,13,,,,,
Franktown,VA,20,33,14,,,,,
Greenbackville,VA,22,27,15,,,,,
Greenbush,VA,12,28,14,,,,,
Hacksneck,VA,13,31,15,,,,,
Hallwood,VA,16,28,15,,,,,
Harborton,VA,14,26,12,,,,,
Horntown,VA,19,13,14,,,,,
Oak Hall,VA,26,19,13,,,,,
Isle Of Wight,VA,21,17,15,,,,,
Jamesville,VA,14,18,16,,,,,
Jenkins Bridge,VA,21,19,15,,,,,
Keller,VA,14,21,15,,,,,
Locustville,VA,18,16,14,,,,,
Machipongo,VA,18,20,15,,,,,
Mappsville,VA,17,21,12,,,,,
Marionville,VA,12,23,10,,,,,
Mears,VA,19,19,12,,,,,
Melfa,VA,18,22,13,,,,,
Modest Town,VA,13,24,12,,,,,
Nassawadox,VA,25,20,15,,,,,
Nelsonia,VA,12,21,14,,,,,
New Church,VA,13,20,11,,,,,
Oak Hall,VA,3,19,13,,,,,
Onancock,VA,20,25,14,,,,,
Onley,VA,10,24,16,,,,,
Oyster,VA,14,20,16,,,,,
Painter,VA,11,22,14,,,,,
Parksley,VA,19,26,12,,,,,
Pungoteague,VA,17,17,16,,,,,
Quinby,VA,13,10,15,,,,,
Rescue,VA,17,15,16,,,,,
Sanford,VA,21,11,14,,,,,
Saxis,VA,17,12,14,,,,,
Seaview,VA,14,20,14,,,,,
Smithfield,VA,27,17,12,,,,,
Smithfield,VA,1,17,12,,,,,
Suffolk,VA,14,18,14,,,,,
Suffolk,VA,1,18,14,,,,,
Suffolk,VA,1,18,14,,,,,
Suffolk,VA,1,18,14,,,,,
Suffolk,VA,1,18,14,,,,,
Suffolk,VA,1,18,14,,,,,
Suffolk,VA,1,18,14,,,,,
Suffolk,VA,1,18,14,,,,,
Tangier,VA,17,21,11,,,,,
Tasley,VA,14,20,13,,,,,
Temperanceville,VA,14,20,11,,,,,
Townsend,VA,16,16,14,,,,,
Virginia Beach,VA,16,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Virginia Beach,VA,1,22,14,,,,,
Wachapreague,VA,14,19,10,,,,,
Wardtown,VA,12,14,14,,,,,
Wattsville,VA,16,26,12,,,,,
Willis Wharf,VA,19,28,16,,,,,
Windsor,VA,13,31,14,,,,,
Withams,VA,14,27,12,,,,,
Norfolk,VA,39,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
Norfolk,VA,1,19,13,,,,,
